;cnpj_cia;cd_cvm;denom_social;denom_comerc;dt_const;setor_ativ;sit_emissor;controle_acionario;logradouro;compl;bairro;mun;uf;cep;auditor;descricao;site;ticker;ibov
98;50.564.053/0001-03;12190;BOMBRIL SA;BOMBRIL SA;1948-01-14;Farmacêutico e Higiene;FASE OPERACIONAL;PRIVADO;Via Anchieta, KM 14;S/N;Rudge Ramos;SÃO BERNARDO DO CAMPO;SP;9696000.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;1080;https://www.bombril.com.br/  e https://ri.bombril.com.br/;['BOBR3', 'BOBR4'];False
99;02.117.801/0001-67;16560;BONAIRE PARTICIPAÇÕES S.A.- EM LIQUIDAÇÃO;BONAIRE;1997-08-29;Energia Elétrica;LIQUIDAÇÃO EXTRAJUDICIAL;PRIVADO;Av. Ayrton Senna;3000 - sala 4098;Barra da Tijuca;RIO DE JANEIRO;RJ;22775003.0;BAKER TILLY BRASIL RJ AUDITORES INDEPENDENTES LTDA.;;www.bonairebrasil.com.br;['BNPA3B'];False
101;10.739.356/0001-03;25860;BR ADVISORY PARTNERS PARTICIPACOES S.A.;BR ADVISORY PARTNERS PARTICIPAÇÕES S.A.;2009-03-12;Bancos;FASE OPERACIONAL;PRIVADO;Avenida Brigadeiro Faria Lima, nº 3.732;28º andar;Itaim Bibi;SÃO PAULO;SP;4538132.0;KPMG AUDITORES INDEPENDENTES LTDA.;Participação em outras sociedades, nacionais ou estrangeiras, na qualidade de sócia, acionista ou quotista, e a administração de bens próprios.;https://brpartners.com.br/;['BRBI11'];False
102;06.977.745/0001-91;19909;BR MALLS PARTICIPAÇOES S.A.;BR MALLS PARTICIPAÇOES S.A.;2004-05-26;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO HOLDING;AV AFRANIO DE MELO FRANCO,290;salas 102,103,104;Leblon;RIO DE JANEIRO;RJ;22430060.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Holding;https://www.allos.co;['BRML3'];False
104;03.847.461/0001-92;18724;BRADESPAR S/A;BRADESPAR S/A;2000-03-30;Extração Mineral;FASE OPERACIONAL;PRIVADO HOLDING;Avenida Juscelino Kubitschek, 1.309;2º andar, parte;Vila Nova Conceição;SÃO PAULO;SP;4543011.0;BAKER TILLY 4PARTNERS AUDITORES INDEPENDENTES LTDA.;Participação como sócia ou acionista de outras Sociedades.;www.bradespar.com;['BRAP3', 'BRAP4'];True
107;07.628.528/0001-59;20036;BRASILAGRO CIA BRAS DE PROP AGRICOLAS;BRASILAGRO CIA BRAS DE PROP AGRICOLAS;2005-09-23;Agricultura (Açúcar, Álcool e Cana);FASE OPERACIONAL;ESTRANGEIRO;Av. Brigadeiro Faria Lima, 1.309;5º andar;Jardim Paulistano;SÃO PAULO;SP;1452002.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;EMPRESA DE DESENVOLVIMENTO AGROPECUARIO;www.brasil-agro.com;['AGRO3'];False
109;42.150.391/0001-70;4820;BRASKEM S.A.;BRASKEM;1974-06-18;Petroquímicos e Borracha;FASE OPERACIONAL;PRIVADO;Rua Eteno, Nº 1561;Polo Industrial;Copec;CAMAÇARI;BA;42816200.0;KPMG AUDITORES INDEPENDENTES LTDA.;Produção de produtos químicos, utilidades, energia elétrica e outrosprestação de serviços industriaisparticipação em outras sociedadeslocação de bens representação/consignação de produtos químicos;www.braskem.com.br;['BRKM3', 'BRKM6', 'BRKM5'];True
113;00.000.208/0001-00;14206;BRB BANCO DE BRASILIA SA;BRB;1964-12-10;Bancos;FASE OPERACIONAL;ESTATAL;SAUN Quadra 5 lote C bloco C 17° andar;CNC;Asa Norte;BRASÍLIA;DF;70040250.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;O BRB é uma instituição financeira de economia mista, controlada pelo Governo do Distrito Federal, organizada sob a forma de banco múltiplo.;www.brb.com.br;['BSLI3', 'BSLI4'];False
114;01.838.723/0001-27;16292;BRF S.A.;BRF S.A.;1945-11-23;Alimentos;FASE OPERACIONAL;PRIVADO;Av. Jorge Tzachel, 475;--;Fazenda;ITAJAÍ;SC;88301600.0;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;Holding Operacional;www.brf-global.com;['BRFS3'];True
115;19.796.586/0001-70;26085;BRISANET PARTICIPAÇÕES S.A.;;2014-02-19;Telecomunicações;FASE OPERACIONAL;PRIVADO;Rodovia CE-138, Km14, Estrada Carrossal Brisa 1Km, Portão A;Préd1 Ent2 1And Sl1;Carrossal Brisa;PEREIRO;CE;63460000.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Participação em sociedades cujas atividades estejam relacionadas a serviços de telecomunicações e tecnologia;https://ri.brisanet.com.br;['BRIT3'];False
118;36.542.025/0001-64;23817;BRQ SOLUÇÕES EM INFORMÁTICA S.A.;BRQ SOLUÇÕES EM INFORMÁTICA S.A.;1993-02-26;Comunicação e Informática;FASE OPERACIONAL;PRIVADO;Alameda Mamoré, nº 687;Andar 03 - Cj 301;Alphaville;BARUERI;SP;6454040.0;KPMG AUDITORES INDEPENDENTES LTDA.;Prestação de Serviços de Transformação Digital com propósito de acelerar negócios através da inteligência e tecnologia da informação (TI);www.brq.com;['BRQB'];False
123;45.242.914/0001-05;24848;C&A MODAS S.A.;C&A MODAS LTDA;1981-01-12;Têxtil e Vestuário;FASE OPERACIONAL;PRIVADO;Alameda Araguaia;1.222/1.022;Alphaville;BARUERI;SP;6455000.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Atuação no varejo nos setores de vestuário, acessórios, calçados, higiene, eletrônicos, dentre outros.;https://www.cea.com.br/;['CEAB3'];False
124;04.030.182/0001-02;19119;CABINDA PARTICIPAÇÕES SA;CABINDA PARTICIPAÇÕES S.A.;2000-07-31;Sem Setor Principal;FASE PRÉ-OPERACIONAL;PRIVADO HOLDING;Rua Pamplona, 818;conjunto;Jardim Paulista;SÃO PAULO;SP;1405001.0;KPMG AUDITORES INDEPENDENTES LTDA.;A Companhia tem por objeto social a participação em outras sociedades, comerciais e civis, como sócia, acionista ou quotista, no país ou no exterior.;;['CABI3'];False
129;22.543.331/0001-00;23795;CAIXA SEGURIDADE PARTICIPAÇÕES S.A.;;2015-05-21;Seguradoras e Corretoras;FASE OPERACIONAL;ESTATAL;SAUS Quadra 3 Bloco E;3º andar;Asa Sul;BRASÍLIA;DF;70070030.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;Participar, direta ou indiretamente, do capital de outras sociedades relacionadas a seguridade e corretagem de seguros.;www.ri.caixaseguridade.com.br;['CXSE3'];False
130;61.088.894/0001-08;2100;CAMBUCI SA;PENALTY;1945-11-05;Têxtil e Vestuário;FASE OPERACIONAL;PRIVADO;Avenida Getulio Vargas, 930;Escritório;Marmeleiro;SÃO ROQUE;SP;18130430.0;GF AUDITORES INDEPENDENTES;;ri.cambuci.com.br;['CAMB3'];False
131;64.904.295/0001-03;24228;CAMIL ALIMENTOS S/A;CAMIL ALIMENTOS S/A;1990-11-09;Alimentos;FASE OPERACIONAL;PRIVADO HOLDING;Av. Rebouças, 3970;12º Andar;Pinheiros;SÃO PAULO;SP;5402600.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Industrialização e comercialização de grãos, pescados, açúcar, massas, biscoitos e café.;www.camilalimentos.com.br;['CAML3'];False
133;02.591.787/0001-39;17493;CAPITALPART PARTICIPAÇÕES SA;CAPITALPART PARTICIPAÇÕES S.A.;1998-06-01;Telecomunicações;FASE OPERACIONAL;PRIVADO HOLDING;Avenida Brigadeiro Faria Lima;2277, 21 andar, 2101;Jardim Paulistano;SÃO PAULO;SP;1452000.0;RSM BRASIL AUDITORES INDEPENDENTES LTDA.;Participação em outras sociedades.;http://capitalpartparticipacoes.mzweb.com.br;['CPTP3B'];False
137;02.846.056/0001-97;18821;CCR S.A.;CCR S.A.;1998-09-23;Serviços Transporte e Logística;FASE OPERACIONAL;PRIVADO;Av Chedid Jafet 222;Bloco B - 4 Andar;Vila Olímpia;SÃO PAULO;SP;4551065.0;KPMG AUDITORES INDEPENDENTES LTDA.;Prestadora de serviços públicos por meio de concessões rodoviária, metroviária e aeroportuária, além de prestação de serviços de meio de pagamentos e outros.;www.ccr.com.br;['CCRO3'];True
138;07.950.674/0001-04;20184;CCX CARVÃO DA COLOMBIA S.A. - EM LIQUIDAÇÃO;CENTENNIAL ASSET PART. AMAPA S/A;2006-04-10;Extração Mineral;LIQUIDAÇÃO EXTRAJUDICIAL;PRIVADO HOLDING;Rua Lauro Müller, 116;Sl. 2403;Botafogo;RIO DE JANEIRO;RJ;22290906.0;BKR - LOPES, MACHADO AUDITORES;Desenvolvimento de projetos de carvão na Colômbia, incluindo, mas não se limitando a, pesquisa, exploração, lavra, beneficiamento, industrialização, transporte, exportação e comércio de carvão.;www.ri.ccx.com.br;['CCXC3'];False
145;00.001.180/0001-26;2437;CENTRAIS ELETRICAS BRASILEIRAS SA;ELETROBRAS;1961-04-25;Energia Elétrica;FASE OPERACIONAL;ESTATAL;Rua da Quitanda, 196;Lj A;Centro;RIO DE JANEIRO;RJ;20091005.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Empresa Holding de Geração, Transmissão de Energia;www.eletrobras.com;['ELET3', 'ELET6', 'ELET5'];True
146;83.878.892/0001-55;2461;CENTRAIS ELETRICAS DE SANTA CATARINA S.A;CELESC;1956-01-30;Energia Elétrica;FASE OPERACIONAL;ESTATAL;Avenida Itamarati, 160;Itacorubi;Itacorubi;FLORIANÓPOLIS;SC;88034900.0;KPMG AUDITORES INDEPENDENTES LTDA.;Holding do Setor de Energia;www.celesc.com.br;['CLSC3', 'CLSC4'];False
151;82.508.433/0001-17;16861;CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN;CASAN;1970-12-31;Saneamento, Serv. Água e Gás;FASE OPERACIONAL;ESTATAL;Rua Emilio Blun;83;Centro;FLORIANÓPOLIS;SC;88020010.0;RUSSELL BEDFORD GM AUDITORES INDEPENDENTES S/S;Atuar como instituição integrante do sistema de saneamento básico e de saúde do Estado de Santa Catarina através dos serviços de captação, tratamento e distribuição de água e tratamento de esgoto.;www.casan.com.br;['CASN3', 'CASN4'];False
152;15.139.629/0001-94;14524;CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA;COELBA;1966-09-22;Energia Elétrica;FASE OPERACIONAL;PRIVADO HOLDING;Avenida Edgard Santos;N° 300;Narandiba;SALVADOR;BA;41181900.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Serviço Público de Distribuição de Energia Elétrica;http://ri.neoenergia.com/;['CEEB3', 'CEEB5', 'CEEB6'];False
154;01.938.783/0001-11;18708;CIA DE PARTICIPAÇÕES ALIANÇA DA BAHIA;CIA. DE PARTICIPAÇÕES ALIANÇA DA BAHIA;1997-05-14;Sem Setor Principal;FASE OPERACIONAL;PRIVADO HOLDING;Av Professor Magalhães Neto, 1.752;11º andar;Pituba;SALVADOR;BA;41810012.0;KPMG AUDITORES INDEPENDENTES LTDA.;Participações em outras sociedades, na qualidade de sócia e/ou quotista e administração de bens próprios;http://www.aliancaparticipacoes.com.br;['PEAB3', 'PEAB4'];False
155;07.047.251/0001-70;14869;CIA ENERG CEARA - COELCE;CIA ENERG CEARA - COELCE;1971-08-30;Energia Elétrica;FASE OPERACIONAL;PRIVADO;Rua Padre Valdevino;150;Centro;FORTALEZA;CE;60135040.0;KPMG AUDITORES INDEPENDENTES LTDA.;Distribuição de energia elétrica.;https://ri.enel.com/;['COCE3', 'COCE5'];False
156;17.155.730/0001-64;2453;CIA ENERG MINAS GERAIS - CEMIG;CEMIG;1952-05-22;Energia Elétrica;FASE OPERACIONAL;ESTATAL;Avenida Barbacena, 1200;16º / B1;Santo Agostinho;BELO HORIZONTE;MG;30190131.0;KPMG AUDITORES INDEPENDENTES LTDA.;Concessionária de serviço público de energia elétrica.;www.cemig.com.br;['CMIG3', 'CMIG4'];True
158;08.324.196/0001-81;18139;CIA ENERGÉTICA DO RIO GRANDE DO NORTE;COSERN;1961-12-14;Energia Elétrica;FASE OPERACIONAL;PRIVADO;Rua Mermoz;Nº 150;Baldo;NATAL;RN;59025250.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Serviço Público de Distribuição de Energia Elétrica;http://ri.neoenergia.com/;['CSRN3', 'CSRN6', 'CSRN5'];False
160;08.467.115/0001-00;20648;CIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELETRICA;CEEE-D;2006-12-01;Energia Elétrica;FASE OPERACIONAL;ESTATAL;Av. Joaquim Porto Villanova, 201;Predio A1 sala 620;Jardim Carvalho;PORTO ALEGRE;RS;91410400.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Prestação de serviços de natureza pública ou privada, no setor de distribuição de energiaelétrica.;https://ri.equatorialenergia.com.br/pt-br/;['CEED3', 'CEED4'];False
162;15.141.799/0001-03;3069;CIA FERRO LIGAS BAHIA FERBASA;FERBASA;1961-02-23;Metalurgia e Siderurgia;FASE OPERACIONAL;PRIVADO;Estrada de Santiago, s/n,;Sede;Santiago;POJUCA;BA;48120000.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Fabricação e comercialização dos diversos tipos de ferroligas;www.ferbasa.com.br;['FESA3', 'FESA4'];False
164;82.981.929/0001-03;3549;CIA INDUSTRIAL SCHLOSSER S.A.;SCHLOSSER TECIDOS;1833-10-21;Têxtil e Vestuário;EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE;PRIVADO;Avenida Getulio Vargas, 63/87;0;Centro;BRUSQUE;SC;88353000.0;PSW BRASIL AUDITORES INDEPENDENTES;Tecidos para Vestuário;www.schlosser.com.br;['SC303', 'SCL04'];False
167;43.776.517/0001-80;14443;CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO;SABESP;1973-09-06;Saneamento, Serv. Água e Gás;FASE OPERACIONAL;ESTATAL;Rua Costa Carvalho, nº 300;Diretoria F;Pinheiros;SÃO PAULO;SP;5429900.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;Abastecimento de água, esgotamento sanitário, drenagem e manejo de águas pluviais urbanas, limpeza urbana, manejo de resíduos sólidos e energia.;ri.sabesp.com.br;['SBSP3'];True
170;22.677.520/0001-76;3158;CIA TECIDOS NORTE DE MINAS - COTEMINAS - EM RECUPERAÇÃO JUDICIAL;COTEMINAS;1967-12-05;Têxtil e Vestuário;EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE;PRIVADO;avenida lincoln alves dos santos;955;Distrito Industrial;MONTES CLAROS;MG;39404005.0;RSM BRASIL AUDITORES INDEPENDENTES LTDA.;Holding;www.ctnm.com.br;['CTNM3', 'CTNM4'];False
171;21.255.567/0001-89;4081;CIA TECIDOS SANTANENSE - EM RECUPERAÇÃO JUDICIAL;SANTANENSE;1891-10-23;Têxtil e Vestuário;EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE;PRIVADO;Rua Doutor Alcides Gonçalves;1500;Santanense;ITAÚNA;MG;39404006.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;Indústria têxtil;www.santanense.com.br;['CTSA3', 'CTSA4'];False
172;76.484.013/0001-45;18627;CIA. DE SANEAMENTO DO PARANÁ - SANEPAR;SANEPAR;1963-01-23;Saneamento, Serv. Água e Gás;FASE OPERACIONAL;ESTATAL;Rua Engenheiros Rebouças, 1376;;Rebouças;CURITIBA;PR;80215900.0;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;EXPLORAÇÃO DE SERVIÇOS PÚBLICOS E DE SISTEMAS PRIVADOS DE ABASTECIMENTO DE ÁGUA, DE COLETA, REMOÇÃO E DESTINAÇÃO FINAL DE EFLUENTES E RESÍDUOS SÓLIDOS DOMÉSTICOS E INDUSTRIAIS E SEUS SUBPRODUTOS.;http://ri.sanepar.com.br/;['SAPR3', 'SAPR4', 'SAPR11'];False
173;33.938.119/0001-69;16616;CIA. DISTRIB. DE GÁS DO RIO DE JANEIRO;CEG;1969-05-28;Saneamento, Serv. Água e Gás;FASE OPERACIONAL;PRIVADO;Av. das Américas, n° 4200, Bloco 6;Salas 101 a 601;Barra da Tijuca;RIO DE JANEIRO;RJ;22640907.0;KPMG AUDITORES INDEPENDENTES LTDA.;Distribuição de gás natural na região metropolitana do Estado do Rio de Janeiro.;www.naturgy.com.br;['CEGR3'];False
175;01.027.058/0001-91;21733;CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO;CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO;1995-11-23;Intermediação Financeira;FASE OPERACIONAL;PRIVADO;Alameda Xingu;512;Alphaville;BARUERI;SP;6455030.0;KPMG AUDITORES INDEPENDENTES LTDA.;Empresa prestadora de serviços de adquirência e meios de pagamento.;www.cielo.com.br;['CIEL3'];True
176;00.272.185/0001-93;14818;CIMS SA;CIMS SA;1994-10-21;Energia Elétrica;FASE OPERACIONAL;PRIVADO;Avenida Bartolomeu Mitre, nº 336;Parte;Leblon;RIO DE JANEIRO;RJ;22431002.0;RSM ACAL AUDITORES INDEPENDENTES S/S;Participação no Capital de Outras Empresas;www.cims.com.br;['CMFA3', 'CMFA4'];False
179;03.802.115/0001-98;26093;CLEAR SALE S.A;;2000-04-24;Comunicação e Informática;FASE OPERACIONAL;PRIVADO;Av. Marcos Penteado de Ulhoa Rodrigues, nº 939;Jacarandá, 3º andar;Alphaville Industria;BARUERI;SP;6460040.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Desenvolvimento e licenciamento de programas de computador customizáveis;ri.clear.sale;['CLSA3'];False
181;12.420.164/0001-57;25682;CM HOSPITALAR S.A;CM HOSPITALAR S.A;2010-08-09;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO;Avenida Luiz Maggioni, nº 2.727;-;Distrito Empresarial;RIBEIRÃO PRETO;SP;14072055.0;KPMG AUDITORES INDEPENDENTES LTDA.;Distribuição e comércio atacadista de produtos para saúde, incluindo medicamentos, produtos médico-hospitalares e laboratoriais vacinas para uso humano dietas e leites nutricionais cosméticos.;https://ri.viveo.com.br;['VVEO3'];False
183;02.800.026/0001-40;17973;COGNA EDUCAÇÃO S.A.;KROTON EDUCACIONAL S.A.;1998-08-26;Educação;FASE OPERACIONAL;PRIVADO;Rua dos Guajajaras, nº 591;4º andar, sala 1;Lourdes;BELO HORIZONTE;MG;30180101.0;KPMG AUDITORES INDEPENDENTES LTDA.;A Companhia tem por objeto a participação, como sócia ou acionista, em sociedades que explorem a administração de atividades de educação.;http://ri.cogna.com.br/;['COGN3'];True
186;61.409.892/0001-73;25984;COMPANHIA BRASILEIRA DE ALUMINIO;;1941-12-12;Extração Mineral;FASE OPERACIONAL;PRIVADO;Avenida Engenheiro Luiz Carlos Berrini, nº 105;14 parte, cj. 141;Cidade Monções;SÃO PAULO;SP;4571900.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Extração de minério de alumínio, serviços de usinagem, caldeira e montagem de maquinário.;www.cba.com.br/ri;['CBAV3'];False
187;47.508.411/0001-56;14826;COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO;PÃO DE AÇÚCAR;1981-11-11;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO;Avenida Brigadeiro Luís Antônio, 3142;-;Jardim Paulista;SÃO PAULO;SP;1402901.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Comércio Varejista;www.gpari.com.br;['PCAR3'];True
188;08.560.444/0001-93;21393;COMPANHIA CELG DE PARTICIPAÇÕES - CELGPAR;CELGPAR;2006-12-04;Energia Elétrica;FASE OPERACIONAL;ESTATAL HOLDING;Rua 88-A, Quadra F-37, Lote 13, nº 116, CEP 74085-020;;Setor Sul;GOIÂNIA;GO;74805080.0;CONVICTA AUDITORES INDEPENDENTES S/S LTDA.;Participação em outras sociedades como acionista ou sócio-cotista e, ainda, a explotação direta ou indireta de serviços de energia elétrica.;https://ri.celgpar.com/;['GPAR3'];False
190;17.245.234/0001-00;3077;COMPANHIA DE FIACAO E TECIDOS CEDRO E CACHOEIRA;CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA;1883-04-02;Têxtil e Vestuário;FASE OPERACIONAL;PRIVADO;Rua Paraíba, 330;9º Andar;Funcionários;BELO HORIZONTE;MG;30130917.0;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;Indústria têxtil;www.cedro.com.br;['CEDO3', 'CEDO4'];False
192;61.856.571/0001-17;15636;COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS;COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS;1968-11-11;Saneamento, Serv. Água e Gás;FASE OPERACIONAL;PRIVADO;Avenida Brigadeiro Faria Lima, 3732;27º andar;Itaim Bibi;SÃO PAULO;SP;4538132.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;Setor de atividade: Utilidade Pública: Distribuição de gás natural canalizado.;www.comgas.com.br;['CGAS3', 'CGAS5'];False
193;10.215.988/0001-60;22691;COMPANHIA DE LOCAÇÃO DAS AMERICAS;LOCAMERICA;2008-07-18;Serviços Transporte e Logística;FASE OPERACIONAL;PRIVADO;Avenida Bernardo de Vasconcelos, 377;;Cachoeirinha;BELO HORIZONTE;MG;31150000.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;A Companhia tem por objeto a atividade de locação de veículos nacionais e importados com ou sem motorista.;www.localiza.com;['LCAM3'];False
194;17.281.106/0001-03;19445;COMPANHIA DE SANEAMENTO DE MINAS GERAIS;COPASA MG;1963-07-05;Saneamento, Serv. Água e Gás;FASE OPERACIONAL;ESTATAL;Rua Mar de Espanha;525;Bairro Santo Antonio;BELO HORIZONTE;MG;30330900.0;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;Planejar, executar, ampliar, remodelar e explorar serviços públicos de saneamento básico, envolvendo abastecimento de água potável, esgotamento sanitário e limpeza urbana e manejo de resíduos sólidos.;www.copasa.com.br;['CSMG3'];False
196;00.070.698/0001-11;14451;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA;1968-12-16;Energia Elétrica;FASE OPERACIONAL;ESTATAL;SGAN Quadra 601, Bloco H, Salas 2010 a 2023;Edifício ÍON;Asa Norte;BRASÍLIA;DF;70830010.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;HOLDING - GERAÇÃO DE ENERGIA ELÉTRICA E ILUMINAÇÃO PÚBLICA;www.ceb.com.br;['CEBR3', 'CEBR6', 'CEBR5'];False
201;19.526.748/0001-50;3395;COMPANHIA INDUSTRIAL CATAGUASES;COMPANHIA INDUSTRIAL CATAGUASES;1936-11-12;Têxtil e Vestuário;FASE OPERACIONAL;PRIVADO;Praça José Inácio Peixoto;28;Vila Tereza;CATAGUASES;MG;36772900.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;indústria têxtil e a comercialização de fios e tecidos em geral e produtos intermediários têxteis.;www.cataguases.com.br;['CATA3'];False
203;76.483.817/0001-20;14311;COMPANHIA PARANAENSE DE ENERGIA COPEL;COPEL;1954-10-26;Energia Elétrica;FASE OPERACIONAL;ESTATAL HOLDING;Rua José Izidoro Biazetto, nº 158;Bloco A;Mossunguê;CURITIBA;PR;81200240.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Geração, Transmissão, Comercialização e Distribuição de Energia Elétrica;http://ri.copel.com/;['CPLE3', 'CPLE6', 'CPLE5'];True
207;87.762.563/0001-03;3298;COMPANHIIA HABITASUL DE PARTICIPAÇÕES;CIA HABITASUL DE PARTICIPAÇÕES;1981-09-28;Crédito Imobiliário;FASE OPERACIONAL;PRIVADO;Av. Carlos Gomes, n° 400, Ed. João Benjamim Zaffari;sala 505;Bairro Boa Vista;PORTO ALEGRE;RS;90480900.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;Participação em sociedades, civis ou comerciais prestação de serviços técnicos de planejamento, organização e estruturação de empresas ou grupos empresariais.;www.habitasul.com.br;['HBTS5'];False
208;21.389.501/0001-81;25127;COMPASS GÁS E ENERGIA S.A.;COMPASS GÁS E ENERGIA S.A.;2014-11-12;Saneamento, Serv. Água e Gás;FASE OPERACIONAL;PRIVADO;Avenida Brigadeiro Faria Lima, nº 4.100;4º andar, Sala 5;Itaim Bibi;SÃO PAULO;SP;4538132.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;Holding de empresas do setor de gás combustível ou de subprodutos e derivados, bem como de água e energia elétrica.;http://www.compassbr.com/;['PASS3', 'PASS5', 'PASS6'];False
228;00.938.574/0001-05;19208;CONCESSIONARIA RIO-TERESOPOLIS SA;CRT SA;1995-11-07;Serviços Transporte e Logística;FASE OPERACIONAL;PRIVADO;Rua do Passeio, nº 38;15° andar;Centro;RIO DE JANEIRO;RJ;20021290.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;Administração, Operação e Conservação de Rodovia;www.rioteresopolis.com.br;['CRTE3', 'CRTE3'];False
235;97.191.902/0001-94;4693;CONSERVAS ODERICH SA;CONSERVAS ODERICH SA;1908-08-08;Alimentos;FASE OPERACIONAL;PRIVADO;RUA ODERICH, 807;-;CENTRO;SÃO SEBASTIÃO DO CAÍ;RS;95760000.0;TATICCA AUDITORES INDEPENDENTES S.S. - EPP;Indústria de alimentos com sede na cidade de São Sebastião do Caí (RS) e filiais nas cidades de Eldorado do Sul (RS), Pelotas (RS), Orizona (GO) e Salvador (BA).;www.oderich.com.br;['ODER3', 'ODER4'];False
236;61.022.042/0001-18;4723;CONSTRUTORA ADOLPHO LINDENBERG S.A.;CAL S/A;1958-01-01;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO;RUA JOAQUIM FLORIANO, 466;2º ANDAR - EDIF CORP;ITAIM BIBI;SÃO PAULO;SP;4534002.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;;http://www.lindenberg.com.br/ri;['CALI3'];False
239;71.476.527/0001-35;21148;CONSTRUTORA TENDA S/A;CONSTRUTORA TENDA S/A;1994-01-01;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO;Rua Boa Vista, nº 280;pavimentos 8º e 9º;Centro, São Paulo;SÃO PAULO;SP;1014908.0;KPMG AUDITORES INDEPENDENTES LTDA.;;www.tenda.com;['TEND3'];False
243;50.746.577/0001-15;19836;COSAN S.A.;COSAN SA INDUSTRIA E COMERCIO;2000-02-01;Agricultura (Açúcar, Álcool e Cana);FASE OPERACIONAL;PRIVADO;Avenida Brigadeiro Faria Lima, 4.100;16º andar, sala 01;Vila Nova Conceição;SÃO PAULO;SP;4538132.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;Produção de Açúcar, Etanol e Cogeração de Energia, Distribuição de Combustíveis,Produção e Distribuição de Lubrificantes,Tranporte e Carregamento de Açúcar, Operador de Terras e Distribuição de Gás.;www.cosan.com.br;['CSAN3'];True
