Code;Details
56529;ANGLOGOLD ASHANTI LTD (REGISTRO ATIVO)
917517;ANGULO45 EMPREENDIMENTOS S.A (REGISTRO ATIVO)
900288;ANHANGUERA EDUCACIONAL PARTICIPACOES S.A (REGISTRO ATIVO)
18961;ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A. (REGISTRO CANCELADO)
52620;ANHEUSER-BUSCH INBEV SA/NV (REGISTRO ATIVO)
23248;ANIMA HOLDING S.A. (REGISTRO ATIVO)
58025;ANNALY CAPITAL MANAGEMENT INC (REGISTRO ATIVO)
12416;ANSON SA ENG FUND RECUPERACOES (REGISTRO CANCELADO)
55301;ANSYS INC (REGISTRO ATIVO)
52698;AO SMITH CORP (REGISTRO ATIVO)
54445;AON PLC (REGISTRO ATIVO)
917522;AOVS SISTEMAS DE INFORMÁTICA S.A. (REGISTRO ATIVO)
52701;APA CORP (REGISTRO ATIVO)
54453;APARTMENT INVESTMENT & MANAGEMENT CO (REGISTRO ATIVO)
909697;APERAM INOX AMERICA DO SUL S.A. (REGISTRO ATIVO)
914531;APOLLO 17 PARTICIPACOES S.A (REGISTRO ATIVO)
426;APOLO PRODUTOS DE ACO SA (REGISTRO CANCELADO)
50024;APPLE INC. (REGISTRO ATIVO)
52710;APPLIED MATERIALS INC (REGISTRO ATIVO)
914325;APSEN FARMACEUTICA S.A. (REGISTRO ATIVO)
59250;APTARGROUP INC (REGISTRO ATIVO)
51535;APTIV PLC (REGISTRO ATIVO)
917507;AQUA-FOZ AQUÁRIO DE FOZ DO IGUAÇU S.A. (REGISTRO ATIVO)
900027;AQUA-RIO AQUARIO MARINHO DO RIO DE JANEIRO S/A (REGISTRO ATIVO)
22101;AQUA-RIO S/A (REGISTRO CANCELADO)
12564;AQUATEC QUIMICA SA (REGISTRO CANCELADO)
21512;ÁQUILLA SECURITIZADORA S.A. (REGISTRO CANCELADO)
434;ARACRUZ CELULOSE S/A (REGISTRO CANCELADO)
485;ARAFERTIL SA (REGISTRO CANCELADO)
442;ARAGUAIA CIA INDL DE PROD ALIM
13161;ARAGUAIA SA MIN RACOES FERTIL (REGISTRO CANCELADO)
9806;ARAPUA IMPORTACAO COMERCIO SA (REGISTRO CANCELADO)
18651;ARAUCÁRIA PARTICIPAÇÕES SA (REGISTRO CANCELADO)
900357;ARAUCARIA SANEAMENTO S/A (REGISTRO ATIVO)
14788;ARBRA SA (REGISTRO CANCELADO)
3964;ARCELOR BRASIL S.A. (REGISTRO CANCELADO)
50083;ARCELORMITTAL (REGISTRO ATIVO)
2658;ARCELORMITTAL INOX BRASIL S.A. (REGISTRO CANCELADO)
52728;ARCHER-DANIELS-MIDLAND CO (REGISTRO ATIVO)
915967;ARCO INSURETECH S.A. (REGISTRO ATIVO)
507;ARCON SA IND ELETROMETALURGICA (REGISTRO CANCELADO)
59402;ARCOS DORADOS HOLDINGS INC (REGISTRO ATIVO)
912063;ARCOS SANEAMENTO E PARTICIPACOES LTDA (REGISTRO ATIVO)
910448;ARCOVERDE TRANSMISSÃO DE ENERGIA S.A. (REGISTRO ATIVO)
16926;ARDOSIA PARTICIPACOES SA (REGISTRO CANCELADO)
911883;AREIA ENERGIA S/A (REGISTRO ATIVO)
